tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM,Class
9606,Homo sapiens,9607,0,live,CARTPT,CART,CART prepropeptide,cocaine- and amphetamine-regulated transcript protein,5q13.2,5,NC_000005.10,71719275,71721045,plus,3,602606,ADHD
9606,Homo sapiens,401145,0,live,CCSER1,FAM190A,coiled-coil serine rich protein 1,"serine-rich coiled-coil domain-containing protein 1|family with sequence similarity 190, member A|protein FAM190A",4q22.1,4,NC_000004.12,90127394,91605295,plus,32,618934,ADHD
9606,Homo sapiens,1012,0,live,CDH13,"CDHH, P105",cadherin 13,"cadherin-13|H-cadherin (heart)|T-cad|T-cadherin|cadherin 13, H-cadherin (heart)|heart cadherin",16q23.3,16,NC_000016.10,82626823,83800640,plus,20,601364,ADHD
9606,Homo sapiens,8621,0,live,CDK13,"CDC2L, CDC2L5, CHDFIDD, CHED, hCDK13",cyclin dependent kinase 13,cyclin-dependent kinase 13|CDC2-related protein kinase 5|cell division cycle 2-like protein kinase 5|cell division protein kinase 13|cholinesterase-related cell division controller,7p14.1,7,NC_000007.14,39949664,40099580,plus,16,603309,ADHD
9606,Homo sapiens,201134,0,live,CEP112,"CCDC46, MACOCO",centrosomal protein 112,centrosomal protein of 112 kDa|centrosomal protein 112kDa|coiled-coil domain-containing protein 46,17q24.1,17,NC_000017.11,65635537,66192133,minus,37,618980,ADHD
9606,Homo sapiens,91782,0,live,CHMP7,,charged multivesicular body protein 7,"charged multivesicular body protein 7|CHMP family, member 7|chromatin-modifying protein 7",8p21.3,8,NC_000008.11,23243637,23262000,plus,11,611130,ADHD
9606,Homo sapiens,1139,0,live,CHRNA7,"CHRNA7-2, NACHRA7",cholinergic receptor nicotinic alpha 7 subunit,"neuronal acetylcholine receptor subunit alpha-7|a7 nicotinic acetylcholine receptor|alpha 7 neuronal nicotinic acetylcholine receptor|alpha-7 nicotinic cholinergic receptor subunit|cholinergic receptor, nicotinic alpha 7|cholinergic receptor, nicotinic, alpha 7 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 7|neuronal acetylcholine receptor protein, alpha-7 chain",15q13.3,15,NC_000015.10,32030462,32173018,plus,13,118511,ADHD
9606,Homo sapiens,9575,0,live,CLOCK,"KAT13D, bHLHe8",clock circadian regulator,circadian locomoter output cycles protein kaput|circadian locomoter output cycles kaput protein|class E basic helix-loop-helix protein 8|clock homolog,4q12,4,NC_000004.12,55427903,55547138,minus,28,601851,ADHD
9606,Homo sapiens,171425,0,live,CLYBL,CLB,citramalyl-CoA lyase,"citramalyl-CoA lyase, mitochondrial|(3S)-malyl-CoA thioesterase|beta-methylmalate synthase|citrate lyase beta like|citrate lyase subunit beta-like protein, mitochondrial|malate synthase",13q32.3,13,NC_000013.11,99606664,99909444,plus,11,609686,ADHD
9606,Homo sapiens,1271,0,live,CNTFR,,ciliary neurotrophic factor receptor,ciliary neurotrophic factor receptor subunit alpha|CNTF receptor subunit alpha|CNTFR-alpha,9p13.3,9,NC_000009.12,34551432,34590386,minus,14,118946,ADHD
9606,Homo sapiens,27255,0,live,CNTN6,NB3,contactin 6,contactin-6|neural adhesion molecule|neural recognition molecule NB-3,3p26.3,3,NC_000003.12,978021,1404217,plus,32,607220,ADHD
9606,Homo sapiens,1312,0,live,COMT,HEL-S-98n,catechol-O-methyltransferase,catechol O-methyltransferase|epididymis secretory sperm binding protein Li 98n|testicular tissue protein Li 42,22q11.21,22,NC_000022.11,19941772,19969975,plus,8,116790,ADHD
9606,Homo sapiens,1621,0,live,DBH,"DBM, ORTHYP1",dopamine beta-hydroxylase,dopamine beta-hydroxylase|dopamine beta-hydroxylase (dopamine beta-monooxygenase),9q34.2,9,NC_000009.12,133636363,133659329,plus,12,609312,ADHD
9606,Homo sapiens,1654,0,live,DDX3X,"CAP-Rf, DBX, DDX14, DDX3, HLP2, MRX102, MRXSSB",DEAD-box helicase 3 X-linked,"ATP-dependent RNA helicase DDX3X|DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked|DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked|DEAD box protein 3, X-chromosomal|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3|DEAD/H box-3|helicase-like protein 2",Xp11.4,X,NC_000023.11,41333308,41364472,plus,20,300160,ADHD
9606,Homo sapiens,160851,0,live,DGKH,DGKeta,diacylglycerol kinase eta,diacylglycerol kinase eta|DAG kinase eta|diglyceride kinase eta,13q14.11,13,NC_000013.11,42040070,42256584,plus,38,604071,ADHD
9606,Homo sapiens,54769,0,live,DIRAS2,Di-Ras2,DIRAS family GTPase 2,"GTP-binding protein Di-Ras2|DIRAS family, GTP-binding RAS-like 2|distinct subgroup of the Ras family member 2",9q22.2,9,NC_000009.12,90609832,90642824,minus,2,607863,ADHD
9606,Homo sapiens,9229,0,live,DLGAP1,"DAP-1, DAP-1-ALPHA, DAP-1-BETA, DAP1A, DLGAP1B, GKAP, SAPAP1, DLGAP1",DLG associated protein 1,disks large-associated protein 1|PSD-95/SAP90 binding protein 1|SAP90/PSD-95-associated protein 1|discs large homolog associated protein 1|guanylate kinase-associated protein,18p11.31,18,NC_000018.10,3496032,4455441,minus,21,605445,ADHD
9606,Homo sapiens,10655,0,live,DMRT2,DSXL-2,doublesex and mab-3 related transcription factor 2,doublesex- and mab-3-related transcription factor 2|doublesex-like 2 protein|terra-like protein,9p24.3,9,NC_000009.12,1003237,1057554,plus,9,604935,ADHD
9606,Homo sapiens,1795,0,live,DOCK3,"MOCA, NEDIDHA, PBP",dedicator of cytokinesis 3,dedicator of cytokinesis protein 3|modifier of cell adhesion|presenilin-binding protein,3p21.2,3,NC_000003.12,50674927,51384198,plus,59,603123,ADHD
9606,Homo sapiens,1812,0,live,DRD1,"DADRA, DRD1",dopamine receptor D1,D(1A) dopamine receptor|dopamine D1 receptor,5q35.2,5,NC_000005.10,175440036,175444182,minus,2,126449,ADHD
9606,Homo sapiens,1813,0,live,DRD2,"D2DR, D2R",dopamine receptor D2,D(2) dopamine receptor|dopamine D2 receptor|seven transmembrane helix receptor,11q23.2,11,NC_000011.10,113409605,113475398,minus,9,126450,ADHD
9606,Homo sapiens,1814,0,live,DRD3,"D3DR, ETM1, FET1",dopamine receptor D3,D(3) dopamine receptor|essential tremor 1,3q13.31,3,NC_000003.12,114127580,114199407,minus,11,126451,ADHD
9606,Homo sapiens,1815,0,live,DRD4,D4DR,dopamine receptor D4,D(4) dopamine receptor|D(2C) dopamine receptor|dopamine D4 receptor|seven transmembrane helix receptor,11p15.5,11,NC_000011.10,637269,640706,plus,4,126452,ADHD
9606,Homo sapiens,1816,0,live,DRD5,"DBDR, DRD1B, DRD1L2",dopamine receptor D5,D(1B) dopamine receptor|D1beta dopamine receptor|d(5) dopamine receptor|dopamine D5 receptor|dopamine receptor D1B,4p16.1,4,NC_000004.12,9781634,9784009,plus,1,126453,ADHD
9606,Homo sapiens,392617,0,live,ELFN1,PPP1R28,extracellular leucine rich repeat and fibronectin type III domain containing 1,protein ELFN1|extracellular leucine-rich repeat and fibronectin type III containing 1|extracellular leucine-rich repeat and fibronectin type-III domain-containing protein 1|protein phosphatase 1 regulatory subunit 28,7p22.3,7,NC_000007.14,1666075,1747954,plus,8,614964,ADHD
9606,Homo sapiens,6921,0,live,ELOC,"SIII, TCEB1",elongin C,"elongin-C|RNA polymerase II transcription factor SIII subunit C|SIII p15|elongin 15 kDa subunit|transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)|transcription elongation factor B polypeptide 1|transcription elongation factor B subunit 1",8q21.11,8,NC_000008.11,73945119,73972287,minus,9,600788,ADHD
9606,Homo sapiens,79071,0,live,ELOVL6,"FACE, FAE, LCE",ELOVL fatty acid elongase 6,"elongation of very long chain fatty acids protein 6|3-keto acyl-CoA synthase ELOVL6|ELOVL FA elongase 6|ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)|fatty acid elongase 2|fatty acyl-CoA elongase|hELO2|long-chain fatty-acyl elongase|very long chain 3-ketoacyl-CoA synthase 6|very long chain 3-oxoacyl-CoA synthase 6",4q25,4,NC_000004.12,110045846,110199199,minus,6,611546,ADHD
9606,Homo sapiens,2013,0,live,EMP2,XMP,epithelial membrane protein 2,epithelial membrane protein 2,16p13.13,16,NC_000016.10,10528422,10580598,minus,6,602334,ADHD
9606,Homo sapiens,2044,0,live,EPHA5,"CEK7, EHK-1, EHK1, EK7, HEK7, TYRO4",EPH receptor A5,ephrin type-A receptor 5|EPH homology kinase 1|EPH-like kinase 7|brain-specific kinase|epididymis secretory sperm binding protein|receptor protein-tyrosine kinase HEK7|tyrosine-protein kinase receptor EHK-1,4q13.1-q13.2,4,NC_000004.12,65319567,65670489,minus,19,600004,ADHD
9606,Homo sapiens,2069,0,live,EREG,"EPR, ER, Ep",epiregulin,proepiregulin,4q13.3,4,NC_000004.12,74365145,74388749,plus,5,602061,ADHD
9606,Homo sapiens,254170,0,live,FBXO33,"BMND12, Fbx33, c14_5247",F-box protein 33,F-box only protein 33,14q21.1,14,NC_000014.9,39396373,39432500,minus,4,609103,ADHD
9606,Homo sapiens,2259,0,live,FGF14,"FGF-14, FHF-4, FHF4, SCA27",fibroblast growth factor 14,fibroblast growth factor 14|fibroblast growth factor homologous factor 4,13q33.1,13,NC_000013.11,101710804,102402443,minus,16,601515,ADHD
9606,Homo sapiens,2272,0,live,FHIT,"AP3Aase, FRA3B",fragile histidine triad diadenosine triphosphatase,"bis(5'-adenosyl)-triphosphatase|AP3A hydrolase|diadenosine 5',5'''-P1,P3-triphosphate hydrolase|dinucleosidetriphosphatase",3p14.2,3,NC_000003.12,59747277,61251452,minus,17,601153,ADHD
9606,Homo sapiens,2289,0,live,FKBP5,"AIG61, FKBP54, P54, PPIase, Ptg-10, FKBP5",FKBP prolyl isomerase 5,peptidyl-prolyl cis-trans isomerase FKBP5|51 kDa FK506-binding protein|51 kDa FKBP|54 kDa progesterone receptor-associated immunophilin|FF1 antigen|FK506 binding protein 5|FKBP-51|HSP90-binding immunophilin|PPIase FKBP5|T-cell FK506-binding protein|androgen-regulated protein 6|peptidylprolyl cis-trans isomerase|rotamase,6p21.31,6,NC_000006.12,35573590,35728583,minus,13,602623,ADHD
9606,Homo sapiens,2332,0,live,FMR1,"FMRP, FRAXA, POF, POF1",FMRP translational regulator 1,synaptic functional regulator FMR1|fragile X mental retardation 1|fragile X mental retardation protein 1|truncated FMRP,Xq27.3,X,NC_000023.11,147911919,147951125,plus,17,309550,ADHD
9606,Homo sapiens,27086,0,live,FOXP1,"12CC4, HSPC215, MFH, QRF1, hFKH1B",forkhead box P1,forkhead box protein P1|fork head-related protein like B|glutamine-rich factor 1|mac-1-regulated forkhead,3p13,3,NC_000003.12,70954708,71583983,minus,32,605515,ADHD
9606,Homo sapiens,93986,0,live,FOXP2,"CAGH44, SPCH1, TNRC10",forkhead box P2,forkhead box protein P2|CAG repeat protein 44|forkhead/winged-helix transcription factor|trinucleotide repeat containing 10|trinucleotide repeat-containing gene 10 protein,7q31.1,7,NC_000007.14,114086327,114693765,plus,24,605317,ADHD
9606,Homo sapiens,2668,0,live,GDNF,"ATF, ATF1, ATF2, HFB1-GDNF, HSCR3",glial cell derived neurotrophic factor,glial cell line-derived neurotrophic factor|astrocyte-derived trophic factor,5p13.2,5,NC_000005.10,37812677,37840044,minus,6,600837,ADHD
9606,Homo sapiens,28964,0,live,GIT1,,GIT ArfGAP 1,ARF GTPase-activating protein GIT1|ARF GAP GIT1|CAT-1|CAT1|G protein-coupled receptor kinase interacting ArfGAP 1|G protein-coupled receptor kinase-interactor 1|GRK-interacting protein 1|cool-associated and tyrosine-phosphorylated protein 1,17q11.2,17,NC_000017.11,29573475,29589648,minus,21,608434,ADHD
9606,Homo sapiens,2702,0,live,GJA5,"ATFB11, CX40",gap junction protein alpha 5,gap junction alpha-5 protein|connexin 40|gap junction protein alpha 5 40kDa,1q21.2,1,NC_000001.11,147756199,147781127,minus,4,121013,ADHD
9606,Homo sapiens,2703,0,live,GJA8,"CAE, CAE1, CTRCT1, CX50, CZP1, MP70",gap junction protein alpha 8,gap junction alpha-8 protein|cell surface glycoprotein|connexin 50|gap junction alpha 8|gap junction membrane channel protein alpha-8|gap junction protein alpha 8 50kDa|lens fiber protein MP70|lens intrinsic membrane protein MP70,1q21.2,1,NC_000001.11,147902795,147915287,plus,3,600897,ADHD
9606,Homo sapiens,10681,0,live,GNB5,"GB5, IDDCA, LADCI, gbeta5",G protein subunit beta 5,"guanine nucleotide-binding protein subunit beta-5|G protein, beta subunit 5L|guanine nucleotide binding protein (G protein), beta 5|guanine nucleotide-binding protein, beta subunit 5L|transducin beta chain 5",15q21.2,15,NC_000015.10,52115100,52191392,minus,17,604447,ADHD
9606,Homo sapiens,2719,0,live,GPC3,"DGSX, GTR2-2, MXR7, OCI-5, SDYS, SGB, SGBS, SGBS1",glypican 3,glypican-3|glypican proteoglycan 3|heparan sulphate proteoglycan|intestinal protein OCI-5|secreted glypican-3,Xq26.2,X,NC_000023.11,133535745,133985616,minus,11,300037,ADHD
9606,Homo sapiens,2239,0,live,GPC4,"K-glypican, KPTS",glypican 4,glypican-4|dJ900E8.1 (glypican 4)|glypican proteoglycan 4,Xq26.2,X,NC_000023.11,133300103,133415489,minus,9,300168,ADHD
9606,Homo sapiens,2897,0,live,GRIK1,"EAA3, EEA3, GLR5, GLUR5, GluK1, gluR-5",glutamate ionotropic receptor kainate type subunit 1,"glutamate receptor ionotropic, kainate 1|excitatory amino acid receptor 3|glutamate receptor 5",21q21.3,21,NC_000021.9,29536933,29939996,minus,19,138245,ADHD
9606,Homo sapiens,2900,0,live,GRIK4,"EAA1, GRIK, GluK4, KA1",glutamate ionotropic receptor kainate type subunit 4,"glutamate receptor ionotropic, kainate 4|excitatory amino acid receptor 1|glutamate receptor KA1|glutamate receptor, ionotropic, kainate 4",11q23.3,11,NC_000011.10,120511748,120988906,plus,24,600282,ADHD
9606,Homo sapiens,2904,0,live,GRIN2B,"EIEE27, GluN2B, MRD6, NMDAR2B, NR2B, NR3, hNR3",glutamate ionotropic receptor NMDA type subunit 2B,"glutamate receptor ionotropic, NMDA 2B|N-methyl D-aspartate receptor subtype 2B|N-methyl-D-aspartate receptor subunit 3|glutamate [NMDA] receptor subunit epsilon-2|glutamate receptor subunit epsilon-2|glutamate receptor, ionotropic, N-methyl D-aspartate 2B",12p13.1,12,NC_000012.12,13537337,13982012,minus,16,138252,ADHD
9606,Homo sapiens,2915,0,live,GRM5,"GPRC1E, MGLUR5, PPP1R86, mGlu5",glutamate metabotropic receptor 5,"metabotropic glutamate receptor 5|glutamate receptor, metabotropic 5|protein phosphatase 1, regulatory subunit 86",11q14.2-q14.3,11,NC_000011.10,88504576,89065982,minus,11,604102,ADHD
9606,Homo sapiens,283120,0,live,H19,"ASM, ASM1, BWS, D11S813E, LINC00008, MIR675HG, NCRNA00008, WT2",H19 imprinted maternally expressed transcript,"H19, imprinted maternally expressed transcript (non-protein coding)|H19, imprinted maternally expressed untranslated mRNA|MIR675 host|adult skeletal muscle|long intergenic non-protein coding RNA 8",11p15.5,11,NC_000011.10,1995176,2001466,minus,6,103280,ADHD
9606,Homo sapiens,3038,0,live,HAS3,,hyaluronan synthase 3,hyaluronan synthase 3|HA synthase 3|hyaluronate synthase 3|hyaluronic acid synthase 3,16q22.1,16,NC_000016.10,69105653,69118719,plus,8,602428,ADHD
9606,Homo sapiens,3065,0,live,HDAC1,"GON-10, HD1, KDAC1, RPD3, RPD3L1",histone deacetylase 1,"histone deacetylase 1|reduced potassium dependency, yeast homolog-like 1",1p35.2-p35.1,1,NC_000001.11,32292083,32333628,plus,14,601241,ADHD
9606,Homo sapiens,3123,0,live,HLA-DRB1,"DRB1, HLA-DR1B, HLA-DRB, SS1","major histocompatibility complex, class II, DR beta 1","major histocompatibility complex, class II, DR beta 1 precursor|HLA class II histocompatibility antigen, DR-1 beta chain|MHC class II HLA-DR beta 1 chain|human leucocyte antigen DRB1|lymphocyte antigen DRB1",6p21.32,6,NC_000006.12,32578775,32589848,minus,6,142857,ADHD
9606,Homo sapiens,3350,0,live,HTR1A,"5-HT-1A, 5-HT1A, 5HT1a, ADRB2RL1, ADRBRL1, G-21, PFMCD",5-hydroxytryptamine receptor 1A,"5-hydroxytryptamine receptor 1A|5-HT1a receptor|5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled|guanine nucleotide-binding regulatory protein-coupled receptor",5q12.3,5,NC_000005.10,63957874,63962445,minus,1,109760,ADHD
9606,Homo sapiens,3351,0,live,HTR1B,"5-HT-1B, 5-HT-1D-beta, 5-HT1B, 5-HT1DB, HTR1D2, HTR1DB, S12",5-hydroxytryptamine receptor 1B,"5-hydroxytryptamine receptor 1B|5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled|serotonin 1D beta receptor|serotonin receptor 1B",6q14.1,6,NC_000006.12,77460924,77463491,minus,1,182131,ADHD
9606,Homo sapiens,3352,0,live,HTR1D,"5-HT1D, HT1DAA, HTRL, RDC4, HTR1D",5-hydroxytryptamine receptor 1D,"5-hydroxytryptamine receptor 1D|5-HT-1D|5-HT-1D-alpha|5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled|serotonin 1D alpha receptor|serotonin receptor 1D",1p36.12,1,NC_000001.11,23191895,23217502,minus,2,182133,ADHD
9606,Homo sapiens,3356,0,live,HTR2A,"5-HT2A, HTR2",5-hydroxytryptamine receptor 2A,"5-hydroxytryptamine receptor 2A|5-HT2 receptor|5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled|serotonin 5-HT-2A receptor",13q14.2,13,NC_000013.11,46831546,46898082,minus,5,182135,ADHD
9606,Homo sapiens,3358,0,live,HTR2C,"5-HT1C, 5-HT2C, 5-HTR2C, 5HTR2C, HTR1C",5-hydroxytryptamine receptor 2C,"5-hydroxytryptamine receptor 2C|5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled|5-hydroxytryptamine receptor 1C|serotonin 5-HT-1C receptor|serotonin 5-HT-2C receptor",Xq23,X,NC_000023.11,114584078,114910061,plus,7,312861,ADHD
9606,Homo sapiens,3359,0,live,HTR3A,"5-HT-3, 5-HT3A, 5-HT3R, 5HT3R, HTR3",5-hydroxytryptamine receptor 3A,"5-hydroxytryptamine receptor 3A|5-hydroxytryptamine (serotonin) receptor 3A, ionotropic|5-hydroxytryptamine receptor 3|5HT3 serotonin receptor|serotonin receptor 3A|serotonin-gated ion channel receptor",11q23.2,11,NC_000011.10,113975108,113990313,plus,10,182139,ADHD
9606,Homo sapiens,3481,0,live,IGF2,"C11orf43, GRDF, IGF-II, PP9974, SRS3",insulin like growth factor 2,insulin-like growth factor II|T3M-11-derived growth factor|insulin-like growth factor 2 (somatomedin A)|insulin-like growth factor type 2|preptin,11p15.5,11,NC_000011.10,2129112,2149603,minus,9,147470,ADHD
